Total Infected,Average Infectious,Total Died,Time to Peak,Time to Peak Death,Maximum Infectious,Vulnerable Infected,Time to Vulnerable Infection,Percent Vulnerable Households Infected,pop_size,vuln_pop_size,classmate_transmission_rate,coworker_transmission_rate,background_transmission_rate,locale,number_of_households,risky_behavior_level,pseudo_risk,rnaught,rseed
11,0.004,0,1,Inf,1,0,Inf,0,3001,671,0.212127859891146,0.06954407964259,0.001,Florida,1211,0,FALSE,TRUE,30001
1,0.5,0,1,Inf,1,0,Inf,0,3001,644,0.002854710044855,0.003095287245693,0.001,Florida,1211,0,FALSE,TRUE,30002
13,0.005,0,1,Inf,1,0,Inf,0,3001,636,0.00139137972021,0.261628947125374,0.001,Florida,1211,0,FALSE,TRUE,30003
1,0.5,0,1,Inf,1,0,Inf,0.001972386587771,3001,623,0.067072625871145,0.008161852958508,0.001,Florida,1211,0,FALSE,TRUE,30004
1,0.9,0,1,Inf,1,0,Inf,0,3001,655,0.119297046535201,0.012159854003831,0.001,Florida,1211,0,FALSE,TRUE,30005
2,0.007,0,1,Inf,1,0,Inf,0,3001,606,0.260172232637253,0.016442644712368,0.001,Florida,1211,0,FALSE,TRUE,30006
2,0.003,0,1,Inf,1,1,3,0.001915708812261,3001,653,0.112989344607037,0.00478116534241,0.001,Florida,1211,0,FALSE,TRUE,30007
1,0.5,0,1,Inf,1,0,Inf,0,3001,655,0.007867497002729,0.003859071176821,0.001,Florida,1211,0,FALSE,TRUE,30008
1,0.5,0,1,Inf,1,0,Inf,0.002049180327869,3001,593,0.277207924566681,0.01492121635909,0.001,Florida,1211,0,FALSE,TRUE,30009
1,0.5,0,1,Inf,1,0,Inf,0.001862197392924,3001,651,0.30143101330593,0.002942903817183,0.001,Florida,1211,0,FALSE,TRUE,30010
3,1,0,1,Inf,1,2,8,0.001956947162427,3001,633,0.032980482659074,0.02488396971219,0.001,Florida,1211,0,FALSE,TRUE,30011
1,0.5,0,1,Inf,1,0,Inf,0,3001,636,0.00291943359818,0.00896462260896,0.001,Florida,1211,0,FALSE,TRUE,30012
5,1,0,1,Inf,1,1,Inf,0.001980198019802,3001,634,0.036255914295503,0.242064897551794,0.001,Florida,1211,0,FALSE,TRUE,30013
3,0.007,0,1,Inf,1,1,2,0.001945525291829,3001,645,0.0353158400111,0.011844708396655,0.001,Florida,1211,0,FALSE,TRUE,30014
8,0.004,0,1,Inf,1,0,Inf,0,3001,628,0.06881831834733,0.002547027470363,0.001,Florida,1211,0,FALSE,TRUE,30015
3,0.003,0,1,Inf,1,0,Inf,0,3001,629,0.025215304029905,0.120407416203212,0.001,Florida,1211,0,FALSE,TRUE,30016
6,0.016,0,1,Inf,1,0,Inf,0,3001,620,0.022697714128731,0.01003863683166,0.001,Florida,1211,0,FALSE,TRUE,30017
2,0.004,0,1,Inf,1,0,Inf,0,3001,640,0.014067960231815,0.010224544435099,0.001,Florida,1211,0,FALSE,TRUE,30018
2,0.002,0,1,Inf,1,0,Inf,0,3001,675,0.006851732910638,0.008025777216375,0.001,Florida,1211,0,FALSE,TRUE,30019
55,0.011,0,1,Inf,1,0,Inf,0,3001,638,0.165292312696674,0.166505555812513,0.001,Florida,1211,0,FALSE,TRUE,30020
5,1,0,1,Inf,1,1,Inf,0.00199203187251,3001,630,0.089966760171494,0.077123783289955,0.001,Florida,1211,0,FALSE,TRUE,30021
7,1,0,1,Inf,1,3,17,0.003853564547206,3001,659,0.003391635179578,0.06841645059389,0.001,Florida,1211,0,FALSE,TRUE,30022
3,1,0,1,Inf,1,1,Inf,0.004098360655738,3001,604,0.180039335330178,0.100446336606691,0.001,Florida,1211,0,FALSE,TRUE,30023
4,0.003,0,1,Inf,1,0,Inf,0,3001,619,0.005314027952402,0.011481240582854,0.001,Florida,1211,0,FALSE,TRUE,30024
1,0.666666666666667,0,1,Inf,1,0,Inf,0.001945525291829,3001,624,0.090248998648062,0.029116973780038,0.001,Florida,1211,0,FALSE,TRUE,30025
1,0.666666666666667,0,1,Inf,1,0,Inf,0.001949317738791,3001,637,0.06763025385171,0.289134833391,0.001,Florida,1211,0,FALSE,TRUE,30026
4,0.002,0,1,Inf,1,0,Inf,0,3001,610,0.017301355126757,0.139543182689664,0.001,Florida,1211,0,FALSE,TRUE,30027
2,0.007,0,1,Inf,1,0,Inf,0,3001,636,0.106790515521729,0.004696309104512,0.001,Florida,1211,0,FALSE,TRUE,30028
3,0.003,0,1,Inf,1,0,Inf,0,3001,668,0.025201517205298,0.00136121614461,0.001,Florida,1211,0,FALSE,TRUE,30029
1,0.5,0,1,Inf,1,0,Inf,0,3001,656,0.006690395017081,0.010940213443941,0.001,Florida,1211,0,FALSE,TRUE,30030
1,0.875,0,1,Inf,1,0,Inf,0,3001,662,0.079029989109484,0.001547373182708,0.001,Florida,1211,0,FALSE,TRUE,30031
1,0.5,0,1,Inf,1,0,Inf,0,3001,628,0.001848577916563,0.005156433624279,0.001,Florida,1211,0,FALSE,TRUE,30032
1,0.5,0,1,Inf,1,0,Inf,0,3001,646,0.001963853254606,0.008089421014458,0.001,Florida,1211,0,FALSE,TRUE,30033
5,0.003,0,1,Inf,1,0,Inf,0,3001,618,0.002916364907336,0.013129643071632,0.001,Florida,1211,0,FALSE,TRUE,30034
2,0.003,0,1,Inf,1,0,Inf,0,3001,642,0.008257307909727,0.023470145630141,0.001,Florida,1211,0,FALSE,TRUE,30035
2,0.002,0,1,Inf,1,1,2,0.001941747572816,3001,646,0.001403722102931,0.159120740037873,0.001,Florida,1211,0,FALSE,TRUE,30036
1,0.5,0,1,Inf,1,0,Inf,0.002012072434608,3001,631,0.005824000975786,0.192360654277748,0.001,Florida,1211,0,FALSE,TRUE,30037
1,0.666666666666667,0,1,Inf,1,0,Inf,0,3001,644,0.002458920017956,0.007029236573429,0.001,Florida,1211,0,FALSE,TRUE,30038
6,1,0,1,Inf,1,2,976,0.004081632653061,3001,618,0.034545290536509,0.002949416802969,0.001,Florida,1211,0,FALSE,TRUE,30039
1,0.666666666666667,0,1,Inf,1,0,Inf,0,3001,664,0.033279372907179,0.008479899673487,0.001,Florida,1211,0,FALSE,TRUE,30040
7,1,0,1,Inf,1,4,2,0.005813953488372,3001,648,0.010685514182717,0.172732862673553,0.001,Florida,1211,0,FALSE,TRUE,30041
6,1,0,1,Inf,1,3,12,0.003992015968064,3001,640,0.014921284994518,0.028062145443726,0.001,Florida,1211,0,FALSE,TRUE,30042
1,0.5,0,1,Inf,1,0,Inf,0,3001,617,0.001137392270752,0.030383884987896,0.001,Florida,1211,0,FALSE,TRUE,30043
3,1,0,1,Inf,1,1,Inf,0.001996007984032,3001,621,0.101362196178516,0.003318302187197,0.001,Florida,1211,0,FALSE,TRUE,30044
3,0.003,0,1,Inf,1,0,Inf,0,3001,643,0.002451517691403,0.002086782980188,0.001,Florida,1211,0,FALSE,TRUE,30045
